Serial Number,Route No.,Origin,Destination,No of Busses (Normal),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated(KM) per day,Travel Time (hours)
24,3 -1/461-3,COLOMBO,KOLONNA,1,1,194.4,2,388.8,5:50
25,3 - 4,COLOMBO,HAMBANTHOTA,2,2,220.1,4,880.4,6:20
26,3/363,COLOMBO,WALASMULLA,1,1,216.2,2,432.4,5:50
27,3/497,COLOMBO,SURIYAWEWA,2,2,190.0,4,760.0,4:25
28,4 - 1 - 1,NEGOMBO,TALAI MANNAR,1,1,310.0,2,620.0,7:50
29,4 - 3,COLOMBO,ANURADHAPURA,5,5,216.4,10,2164.0,5:30
30,4 - 7,COLOMBO,PUTTALAM,22,20,137.2,40,5488.0,3:45
31,4 - 9,COLOMBO,ANAMADUWA,1,1,129.0,2,258.0,3:30
32,4 - 10,ELUVANKULAMA,COLOMBO,1,1,158,2,316,4:10
33,4 -11,COLOMBO,CHILAW,54,48,82.8,132,10929.6,2:30
34,4 -13,PUTTALAM,MANNAR,1,1,184.0,2,368.0,4:30
35,5,COLOMBO,KURUNEGALA,56,49,95.8,98,9388.4,3:00
36,5/ 57/540,GALNEWA,KATUNAYAKA,2,2,188.1,4,752.4,4:40
37,5/245,KATUNAYAKA,KURUNEGALA,7,7,72.0,14,1008.0,2:20
38,6,COLOMBO,KURUNEGALA,60,51,93.4,102,9526.8,2:40
39,6/ 558,MORAGOLLAGAMA,COLOMBO,1,1,152.0,2,304.0,4:15
40,6/ 57/540,COLOMBO,GALNEWA,1,1,210.2,2,420.4,5:30
41,7,COLOMBO,KALPITIYA,6,6,171.7,12,2060.4,4:35
42,7 - 1,NEGOMBO,KALPITIYA,4,4,134.9,8,1079.2,2:40
43,8,COLOMBO,MATALE,14,13,141.3,26,3673.8,4:15
44,8 - 1,COLOMBO,MATALE,1,1,140.0,2,280.0,4:10
45,9,COLOMBO,TELDENIYA,1,1,140.6,2,281.2,4:30
46,9 - 1,COLOMBO,WATTEGAMA,3,3,129.8,6,778.8,4:00
47,9 - 2,COLOMBO,DIGANA,3,3,140.2,6,841.2,4:15
48,11,RATNAPURA,MATARA,3,3,172.6,6,1035.6,5:05
49,11 - 1,EMBILIPITIYA,MATARA,21,15,94.8,60,5688.0,2:30
50,11 - 3,SURIYAWEWA,MATARA,1,1,120.1,2,240.2,3:15
51,11/342,EMBILIPITIYA,MATARA,1,1,94.1,2,188.2,2:30
52,14,KANDY,MONARAGALA,1,1,160.2,2,320.4,4:45
53,15 - 1,COLOMBO,ANURADHAPURA,15,13,229.6,26,5969.6,6:00
54,15 - 4,COLOMBO,GALNEWA,2,2,198.2,4,792.8,5:30
55,15 - 5,KURUNEGALA,KEKIRAWA,10,9,81.2,18,1461.6,2:50
56,15 - 5/544-1,KURUNEGALA,BULNEWA,1,1,68.6,2,137.2,2:00
57,15 - 6,COLOMBO,GALENBINDUNUWEWA,2,2,207.9,4,831.6,5:30
58,15 - 7,COLOMBO,VAVUNIYA,5,5,285.7,10,2857.0,7:00
59,15 - 13,GALNEWA,COLOMBO,1,1,206.0,2,412.0,5:30
60,15 -17,KURUNEGALA,ANURADHAPURA,3,3,118.5,6,711.0,3:15
61,15 -18,KEGALLE,VAVUNIYA,1,1,198.0,2,396.0,5:20
62,15/ 480/21,COLOMBO,GALNEWA,1,1,200.0,2,400.0,5:20
63,15/835,COLOMBO,HOROWPATANA,1,1,283.1,2,566.2,7:15
64,15/968,COLOMBO,WEWALA,1,1,174.6,2,349.2,5:00
65,16,COLOMBO,NAWALAPITIYA,3,3,140.8,6,844.8,4:15
66,17,PANADURA,KANDY,14,14,147.3,28,4124.4,4:40
67,17 - 1,KURUNEGALA,PANADURA,2,2,122.3,4,489.2,3:50
68,17 / 6,KURUNEGALA,BATTARAMULLA,2,2,96.7,4,386.8,3:00
69,17/15/1,PANADURA,ANURADHAPURA,1,1,258.1,2,516.2,7:00
70,18 - 2,COLOMBO,HATTON,6,6,120.6,12,1447.2,4:30
71,18 - 6,COLOMBO,BAGAWANTALAWA,1,1,141.7,2,283.4,4:45
72,19 - 2,COLOMBO,GAMPOLA,32,28,123.7,56,6927.2,3:45
73,21,BADULLA,KANDY,1,1,121.0,2,242.0,3:45
74,22 - 2,KANDY,AMPARA,10,10,197.7,10,10.0,5:35
75,22 - 3,TAMPITIYA,KANDY,2,2,164.0,4,656.0,4:40
76,22 - 4,AMPARA,MAHIYANGANA,5,5,119.6,10,1196.0,3:20
77,22 - 5,MAHIYANGANAYA,KANDY,16,16,79.7,32,2550.4,2:55
78,22 - 6,SIRIPURA,KANDY,8,8,136.6,16,2185.6,4:15
79,22 - 6- 1,DEHI ATTAKANDIYA,KANDY,4,4,120.5,8,964.0,4:00
80,22 - 6- 2,NUWARAGALA,KANDY,1,1,137.9,2,275.8,4:45
81,22 - 9,NINDAVUR,COLOMBO,1,1,339.6,1,339.6,9:20
82,22/ 75/218,ANURADHAPURA,AMPARA,2,2,324.4,2,648.8,7:35
83,22/ 756/ 48,KURUNEGALA,AMPARA,1,1,256.0,2,512.0,
84,23 - 2,AVISSAWELLA,KITULGALA,4,4,40.2,16,643.2,1:30
85,25,URUBOKKA,WANDAMA,1,1,162.0,2,324.0,4:45
86,25 - 1,EMBILIPITIYA,WEHERAGALA,1,1,252.1,1,252.1,7:45
87,25/ 27/218,EMBILIPITIYA,WELIKANDA,2,2,286.5,2,573.0,8:45
88,25/363,MULATIYANA,MONARAGALA,1,1,176.3,2,352.6,5:15
89,25-218-866,EMBILIPITIYA,TRINCOMALEE,1,1,369.0,1,369.0,9:45
90,26,COLOMBO,HAKMANA,1,1,184.5,2,369.0,5:30
91,26 - 1,COLOMBO,MIDDENIYA,4,3,222.0,6,1332.0,7:00
92,26 - 3,COLOMBO,DEIYANDARA,1,1,196.3,2,392.6,5:45
93,27/218/49,HAMBANTHOTA,TRINCOMALEE,1,1,425.1,1,425.1,10:30
94,27/218/58,WELLAWAYA,ANURADHAPURA,2,2,318.1,2,636.2,8:45
95,31,MATARA,BANDARAWELA,2,2,216.2,4,864.8,5:25
96,31 - 2,MATARA,BADULLA,2,2,230.1,4,920.4,5:45
97,32,COLOMBO,KATARAGAMA,2,2,291.3,2,582.6,8:00
98,32 - 1,COLOMBO,HAMBANTOTA,2,2,241.8,4,967.2,7:00
99,32 - 4,COLOMBO,TANGALLE,27,23,201.1,46,9250.6,5:45
100,32 - 5,COLOMBO,MIDDENIYA,2,2,223.6,4,894.4,6:30
101,32 - 6,ELPITIYA,KATARAGAMA,1,1,220.4,2,440.8,6:00
102,32 - 7,GALLE,KATARAGAMA,1,1,174.9,2,349.8,4:30
103,34 - 3,NEGOMBO,KURUNEGALA,20,18,76.3,58,4425.4,2:30
104,34 - 4,NEGOMBO,GIRIULLA,34,25,42.7,116,4953.2,1:30
105,35,GALLE,AMPARA,2,2,346.2,2,692.4,8:35
106,35 - 1,MATARA,AMPARA,11,8,292.2,8,2337.6,7:25
107,35 - 3,MATARA,MONARAGALA,18,16,193.5,32,6192.0,4:55
108,35 - 7,AMPARA,AMBALANGODA,2,2,376.3,2,752.6,9:10
109,35/881-5,MATARA,KALMUNAI,2,2,311.0,2,622.0,7:45
110,35/935,GALLE,BATTICALOA,1,1,394,1,394,10:00
111,38,COLOMBO,BIBILA,2,2,231.5,4,926.0,7:10
112,38 - 1,COLOMBO,MAHIYANGANAYA,1,1,192.4,2,384.8,6:20
113,4 1- 2,KADURUWELA,KANDY,21,20,145.4,40,5816.0,4:00
114,41- 2/686,BIMPOKUNA,KANDY,1,1,175.5,2,351.0,5:00
115,41- 2/962,SUNGAVILA,KANDY,2,2,170.0,4,680.0,4:45
116,41 - 3,BUDDHAYAYA,KANDY,1,1,140.9,2,281.8,4:30
117,41 -10,ONEGAMA,KANDY,1,1,155.5,2,311.0,5:00
118,41 -11,ARUNAPURA,KANDY,1,1,190.0,2,380.0,5:30
119,41/ 48,KANDY,BATTICALOA,1,1,233.3,2,466.6,6:00
120,42,COLOMBO,UDUGAMA,2,2,134.5,8,1076.0,5:00
121,42 - 1/430,COLOMBO,MORAWAKA,4,4,148.7,8,1189.6,5:45
122,42 - 2,KANDY,ANURADHAPURA,28,24,148.9,48,7147.2,4:30
123,42 - 5,NOCHCHIYAGAMA,KANDY,2,2,170.3,4,681.2,5:00
124,42 - 8,COLOMBO,MAPALAGAMA,1,1,114.3,2,228.6,4:15
125,42 - 9,COLOMBO,TAWALAMA,2,2,122.1,4,488.4,4:40
126,42 -14,MATALE,KEKIRAWA,1,1,67.3,2,134.6,2:10
127,42/369,COLOMBO,OPATHA,1,1,146.5,2,293.0,5:40
128,42/825,KAHATAGASDIGILIYA,KANDY,1,1,162.1,2,324.2,5:00
129,42/825/835,KANDY,GOMARANKADAWALA,1,1,214.5,2,429.0,6:30
130,43,KANDY,ANURADHAPURA,2,2,141.3,4,565.2,4:15
131,43/857,KANDY,VAVUNIYA,10,10,204.0,20,4080.0,5:15
132,45,TRINCOMALEE,KANDY,6,6,181.4,12,2176.8,5:00
133,45/ 950,MUTTUR,KANDY,1,1,212.0,2,424.0,5:20
134,46,KEGALLE,KADURUWELA,1,1,164.2,2,328.4,4:30
135,47 - 3,WELIMADA,KANDY,3,3,105.5,6,633.0,3:40
136,47 - 3/328,LUNUWATTA,KANDY,1,1,115.5,2,231.0,4:00
137,48,COLOMBO,KALMUNAI,1,1,356.2,1,356.2,9:55
138,48 - 1,COLOMBO,BATTICALOA,2,2,314.9,2,629.8,8:15
139,48 - 1/962,SUNGAWILA,BATTICALOA,1,1,122.3,2,244.6,3:15
140,48 - 2,COLOMBO,DIYASENPURA,2,2,232.7,4,930.8,6:15
141,48 - 3,COLOMBO,KADURUWELA,36,32,224.6,64,14374.4,6:00
142,48 - 4,COLOMBO,MEDIRIGIRIYA,4,4,226.6,8,1812.8,6:15
143,48 - 8,KADURUWELA,KURUNEGALA,23,21,130.1,42,5464.2,3:30
144,48 - 9,KURUNEGALA,HINGURAKGODA,6,6,203.7,12,2444.4,5:20
145,48- 12/962,SUNGAVILA,AKKARAIPATTU,2,2,184.1,4,736.4,5:00
146,48 -13,COLOMBO,TIRIKKOVIL,2,2,392.5,2,785.0,10:00
147,48 -15,COLOMBO,SUNGAWILA,1,1,248.0,2,496.0,6:50
148,48 -16,MADURU OYA,COLOMBO,2,2,274.3,4,1097.2,7:20
149,48 -17,COLOMBO,WELIKANDA,1,1,251.0,2,502.0,6:40
150,48 -19,KADURUWELA,KATTANKUDI,2,2,101.1,4,404.4,2:45
151,48 -20,COLOMBO,AMBAGASWEWA,4,4,247.9,8,1983.2,6:30
152,48 -27,KURUNEGALA,WELIKANDA,2,2,154.5,4,618.0,4:15
153,48- 27/21,MAHIYANGANAYA,RANSALATENNA,1,1,94.2,2,188.4,2:45
154,48- 27/218,MAHIYANGANAYA,KURULUBEDDA,2,2,114.0,2,228.0,3:20
155,48 - 29,KADURUWELA,KALMUNAI,1,1,132.0,1,264.0,3:30
156,48/218,COLOMBO,DEHIATTAKANDIYA,4,4,274.7,8,2197.6,7:30
157,48/218 - 1,COLOMBO,SIRIPURA,1,1,266.9,2,533.8,7:05
158,48/962,SUNGAVILA,KALMUNAI,1,1,162.5,2,325.0,4:30
159,49 - 1,KURUNEGALA,TRINCOMALEE,2,2,165.5,4,662.0,4:30
160,49/ 900,KUCHCHAWELI,COLOMBO,1,1,298.0,2,596.0,7:40
161,49/950,COLOMBO,MUTTUR,4,4,279.3,8,2234.4,7:10
162,52 - 3,KANDY,HINGURAKGODA,2,2,130.1,4,520.4,3:30
163,52 - 3/996- 2,SIYAMBALAGASHANDIYA,KANDY,1,1,162.5,2,325.0,4:30
164,52 - 6,AMBAGASWEWA,KANDY,2,2,166.3,4,665.2,5:30
165,52 - 8,DIYASENPURA,KANDY,5,5,150.9,10,1509.0,4:00
166,55/245,NEGOMBO,NUWARAGALA,1,1,264.0,2,528.0,6:40
167,57,COLOMBO,ANURADHAPURA,16,13,211.0,26,5486.0,5:30
168,57 - 2,VAVUNIYA,KURUNEGALA,6,5,170.5,10,1705.0,4:35
169,57 - 3,VAVUNIYA,COLOMBO,1,1,260.0,2,520.0,7:00
170,57 - 5,KURUNEGALA,ANURADHAPURA,44,38,114.0,76,8664.0,3:05
171,57 - 9,ANURADHAPURA,KEGALLE,2,2,148.3,4,593.2,4:10
172,57 - 10,MEDAWACHCHIYA,KURUNEGALA,2,2,142.3,4,569.2,4:05
173,57 - 18,COLOMBO,VILACHCHIYA,1,1,246.3,2,492.6,6:30
174,57/ 221/ 420,ANURADHAPURA,KALUTARA,1,1,250.0,2,500.0,6:30
175,57/928,DEMATAWEWA,KURUNEGALA,2,2,180.0,4,720.0,4:30
176,57/978,COLOMBO,KALA OYA,1,1,208.1,2,416.2,5:30
177,60,COLOMBO,DENIYAYA,2,2,200.8,4,803.2,5:50
178,60 - 1,COLOMBO,AKURESSA,1,1,154.7,2,309.4,4:30
179,60 - 3,COLOMBO,DEIYANDARA,1,1,176.3,2,352.6,5:30
180,60 - 4,COLOMBO,URUBOKKA,1,1,214.6,2,429.2,6:15
181,60/369,DERANAGALA,COLOMBO,1,1,340.2,2,680.4,5:00
182,67,COLOMBO,RAKWANA,3,3,138.9,6,833.4,4:05
183,67 - 1,COLOMBO,KOLONNA,1,1,178.3,2,356.6,5:25
184,69,KANDY,RATNAPURA,4,4,130.0,8,1040.0,3:25
185,69 - 1,EMBILIPITIYA,KANDY,3,3,206.6,6,1239.6,5:30
186,69 - 4,KANDY,AVISSAWELLA,3,3,86.5,12,1038.0,2:30
187,76/ 218/ 314,BADULLA,TRINCOMALEE,2,2,263.0,2,526.0,7:00
188,78,NAWALAPITIYA,COLOMBO,1,1,112.5,2,225.0,4:00
189,81- 48,PUTTALAM,BATTICALOA,1,1,312.2,1,312.2,8:00
190,83,VAVUNIYA,MANNAR,1,1,78.6,2,157.2,2:10
191,86 - 1,BATTICALOA,VAVUNIYA,2,2,242.3,4,969.2,6:30
192,86 - 2,VAVUNIYA,AKKARAIPATTU,1,1,302.0,2,604.0,8:00
193,87 - 3,JAFFNA,VAVUNIYA,7,7,152.2,14,2130.8,4:00
194,87 - 6,MADU,JAFFNA,2,2,210.0,4,840.0,5:45
195,88 - 2,TRINCOMALEE,VAVUNIYA,4,4,102.3,8,818.4,2:40
196,92 - 4,COLOMBO,KULIYAPITIYA,24,20,86.1,60,5166.0,2:50
197,92 - 5,KULIYAPITIYA,NEGOMBO,35,30,50.7,90,4563.0,1:45
198,92/929,COLOMBO,KULIYAPITIYA,1,1,88.5,2,177.0,2:55
199,92/929-1,COLOMBO,PANDUWASNUWARA,1,1,132.5,2,265.0,4:00
200,98 - 1,COLOMBO,AMPARA,12,12,376.2,12,4514.4,10:00
201,98 - 2,COLOMBO,MONARAGALA,31,26,276.5,52,14378.0,7:30
202,98 - 6,COLOMBO,BALANGODA,2,2,132.3,4,529.2,4:25
203,98 -11,COLOMBO,BADALKUMBURA,1,1,262.3,1,262.3,7:00
204,98/486- 1,COLOMBO,WEYLI-OYA,1,1,174.2,1,174.2,5:15
205,98/487,COLOMBO,WELIPATAYAYA,1,1,182.3,1,182.3,5:30
206,99,COLOMBO,BADULLA,9,8,238.0,8,1904.0,7:30
207,99 - 4,COLOMBO,BALANGODA,1,1,152.3,2,304.6,5:00
208,122,COLOMBO,RATHNAPURA,27,25,103.1,80,8248.0,3:00
209,122 - 2,COLOMBO,RATHNAPURA,1,1,98.8,2,197.6,3:00
210,122/ 98 - 19,OBBEGODA,COLOMBO,1,1,252.0,2,504.0,6:45
211,122/ 98/ 199 - 2,MEDAGAMA,COLOMBO,1,1,312.0,2,624.0,8:15
212,122/210,COLOMBO,EMBILIPITIYA,13,12,180.5,24,4332.0,5:00
213,122/210 - 1,COLOMBO,SURIYAWEWA,3,3,205.6,6,1233.6,6:00
214,122/210 - 2,COLOMBO,MIDDENIYA,2,2,204.4,4,817.6,6:10
215,122/210 - 4,COLOMBO,ANGUNAKOLAPELESSA,1,1,221.7,2,443.4,7:05
216,122/210/168,COLOMBO,URUBOKKA,1,1,255.2,2,510.4,6:05
217,122/210/211,COLOMBO,HAMBANTOTA,1,1,222.2,2,444.4,6:45
218,122/467,COLOMBO,RAKWANA,1,1,150.4,2,300.8,4:35
219,126/69,PANADURA,MATALE,1,1,174.0,2,348.0,4:45
220,168 - 2,URUBOKKA,KELLA,1,1,17.5,6,105.0,0:40
221,211,EMBILIPITIYA,HAMBANTOTA,18,15,45.2,30,2712.0,1:45
222,217 /22-4,DEHI ATTAKANDIYA,AMPARA,1,1,162.3,2,324.6,4:30
223,218 - 2,MAHIYANGANAYA,KADURUWELA,17,15,92.3,30,2769.0,2:50
224,218 - 4,WEHERAGALA,BADULLA,1,1,138.2,2,276.4,4:00
225,218 - 6	,SIRIPURA,BADULLA,1,1,126.5,2,253.0,3:40
226,218 - 22,ARALAGANVILA,AMPARA,1,1,188.3,2,376.6,5:30
227,218/314,BADULLA,KADURUWELA,2,2,168.3,4,673.2,5:00
228,218/685,DEHI ATTAKANDIYA,HANGURANKETA,1,1,124.9,2,249.8,3:45
229,221 - 1,MAHIYANGANAYA,SIRIPURA,4,4,50.2,16,803.2,1:30
230,226,BALANGODA,BANDARAWELA,2,2,58.6,8,468.8,2:00
231,234/580/87,MONARAGALA,JAFFNA,1,1,448.5,1,448.5,13:00
232,245-1/182/18,NEGOMBO,HATTON,1,1,147.0,2,294.0,5:00
233,301/218,BIBILA,KADURUWELA,1,1,132.5,2,265.0,3:50
234,303 - 1,MONARAGALA,PANAMA,3,3,91.2,6,547.2,2:30
235,311- 2,WELIMADA,NUWARA ELIYA,20,20,27.7,80,2216.0,1:15
236,312/218,GALA UDA,SOORIYAPOKUNA,1,1,114.5,2,229.0,3:15
237,314/580/4,BADULLA,ANURADHAPURA,1,1,258.0,2,516.0,7:00
238,314/580/15-7,BANDARAWELA,VAVUNIA,2,2,322.5,2,645.0,9:25
239,333,KATARAGAMA,MATARA,3,3,131.1,6,786.6,3:45
240,334 - 1,MATARA,KATARAGAMA,1,1,138.5,2,277.0,4:00
241,335 - 1,TISSA,TANAMALVILA,2,2,30.1,12,361.2,1:00
242,339 - 4,MIDDENIYA,EMBILIPITIYA,1,1,20.9,10,209.0,0:45
243,345,TIHAGODA,KATRAGAMA,1,1,117.0,2,234.0,3:30
244,348,NITTAMBUWA,RUWANWELLA,4,4,30.2,16,483.2,1:00
245,363 - 1,MIDDENIYA,WELI-OYA,1,1,152.0,2,304.0,4:10
246,363 - 2,PEELLA,SOORIYAWEWA,1,1,92.3,2,184.6,2:35
247,363 - 2-1	,HAKMANA,SOORIYAWEWA,1,1,80.0,2,160.0,2:25
248,363 - 6,MIDDENIYA,EMBILIPITIYA,1,1,18.1,10,181.0,0:45
249,363 - 11,WALASMULLA,EMBILIPITIYA,1,1,44.5,2,89.0,1:30
250,363 -12	,MATARA,EMBILIPITIYA,2,2,87.0,8,696.0,2:30
251,363 -13	,EMBILIPITIYA,KARAPITIYA,1,1,122.0,2,244.0,3:30
252,363 -18	,WALASMULLA,WELIARA,1,1,70.0,4,280.0,2:20
253,393,COLOMBO,YAKKALAMULLA,1,1,134.5,2,269.0,4:00
254,401,COLOMBO,ELPITIYA,16,14,95.5,32,3056,3:00
255,401 - 1,ELPITIYA,ALUTGAMA,1,1,30.2,6,181.2,1:00
256,403,NELUWA,MATUGAMA,1,1,52.1,4,208.4,1:45
257,418/5,MEEGALLAWA,ANURADHAPURA,1,1,60.0,4,240.0,
258,419 - 2,HUREEGASWEWA,GALGAMUWA,1,1,18.0,10,180.0,0:45
259,449,KARANDANA,HORANA,1,1,34.5,4,138.0,1:15
260,450,RATNAPURA,PANADURA,30,26,70.2,82,5756.4,2:25
261,470,AVISSAWELLA,EHELIYAGODA,2,2,14.3,16,228.8,0:40
262,470 - 2,AVISSAWELLA,RATNAPURA,26,22,44.1,44,1940.4,1:30
263,470 - 7,AVISSAWELLA,MITIPOLA,1,1,18.1,8,144.8,0:45
264,473 - 7,COLOMBO,KALAWANA,2,2,110.5,4,442.0,3:15
265,482,MATUGAMA,KALAWANA,8,8,44.2,32,1414.4,1:20
266,482 - 1,MATUGAMA,MANANA,1,1,367,1,367,9:30
267,488,BALANGODA,HATTON,3,3,76.0,6,456.0,2:20
268,493 - 1,EMBILIPITIYA,BELIATTA,24,19,58.1,76,4415.6,1:40
269,493 - 2,KIRIIBBAN ARA,MATARA,1,1,94.1,2,188.2,2:50
270,493 - 3,HAKMANA,EMBILIPITIYA,2,2,66.3,4,265.2,2:00
271,493 - 4,EMBILIPITIYA,GALLE,1,1,128.5,2,257.0,3:30
272,497,SOORIYAWEWA,EMBILIPITIYA,4,4,22.3,24,535.2,0:45
273,507,KURUNEGALA,KEGALLE,38,33,32.0,96,3072.0,1:20
274,508,KURUNEGALA,RAMBUKKANA,8,7,24.6,28,688.8,1:00
275,509,KURUNEGALA,RAMBUKKANA,2,2,26.9,8,215.2,1:15
276,548,KURUNEGALA,KEKIRAWA,4,4,87.1,8,696.8,2:30
277,548 -1,KURUNEGALA,GALNEWA,2,2,96.5,4,386.0,2:45
278,549,KURUNEGALA,DAMBULLA,19,19,60.3,58,3497.4,2:00
279,549 - 1,KURUNEGALA,WEWALA,1,1,80.2,2,160.4,2:20
280,549 - 4,KURUNEGALA,GALKIRIYAGAMA,1,1,82.3,2,164.6,2:25
281,549/499,KURUNEGALA,SIGIRIYA,1,1,78.0,2,156.0,2:15
282,556,KURUNEGALA,MATALE,20,16,50.0,48,2400.0,2:00
283,564-6,MIRISSALA,KURUNEGALA,1,1,48.8,4,195.2,1:55
284,566,MAWATAGAMA,RAMBUKKANA,2,2,16.7,8,133.6,0:50
285,581 - 1,MATALE,KADURUWELA,8,8,108.1,16,1729.6,3:20
286,581 - 3,KADURUWELA,MATALE,1,1,118.0,2,236.0,3:30
287,602,KANDY,KURUNEGALA,48,41,43.0,120,5160.0,1:25
288,662,KEGALLE,KANDY,35,31,37.8,100,3780.0,1:15
289,662 - 1,KANDY,MAWANELLA,33,30,39.1,120,4692.0,0:50
290,670,NITTAMBUWA,WARAKAPOLA,2,2,16.3,12,195.6,0:40
291,674 - 1,COLOMBO,KOTIYAKUMBURA,1,1,76.6,2,153.2,2:25
292,674 - 3,AVISSAWELLA,KEGALLE,21,17,48.1,68,3270.8,1:40
293,677,COLOMBO,BULATHKOHUPITIYA,1,1,78.5,2,157.0,2:30
294,677 - 4,AVISSAWELLA,BULATHKOHUPITIYA,8,7,34.2,28,957.6,1:20
295,750 - 3,EMBILIPITIYA,HAMBANTOTA,1,1,56.0,04,224.0,1:30
296,825,DUTUWEWA,KANDY,1,1,126.9,02,253.8,4:30
297,835,TRINCOMALEE,ANURADHAPURA,1,1,113.5,02,227.0,3:25
298,842,PULMUDE,ANURADHAPURA,1,1,112.4,02,224.8,3:20
299,857,VAVUNIYA,ANURADHAPURA,10,10,61.9,36,2476.0,1:45
300,907,CHILAW,NEGOMBO,85,76,42.3,202,8544.6,1:30
301,909,AMPARA,MONARAGALA,1,1,84.2,08,336.8,2:45
302,929 - 1,ELIVILA,NEGAMBO,8,8,26.0,16,416.0,1:10
303,999-1,GIRIULLA,MIRIGAMA,1,1,12.2,08,48.8,0:20
