id,genericName,brandName,country,expiryDate,schedule,importerName,importerId,aliases
F5R4LoABo0STa_yTIs61,Sumatriptan Tablet 50mg,,,,,,,
IUV2LoABFPy-ZFU44HEY,Liposomal form of Amphotericin B 50 mg vial,,,,,,,"[""Liposomal Amphotericin B injection 50mg for I.V. use ""]"
FpR2LoABo0STa_yTOc5P,Clofazimine Tablet 100mg,,,,,,,
IEV1LoABFPy-ZFU4-HH6,Clofazimine Capsule BP/USP/IP,,,,,,,
FZR1LoABo0STa_yTTM7s,Dapsone Tablet BP/USP/IP 50mg,,,,,,,
H0V0LoABFPy-ZFU4fXF9,"Morphine Sulphate injection BP,(preservative free) 2mg in 2ml",,,,,,,"[""Morphinesul.Inj.(Presvat.free) 2mg/2ml ""]"
HkVzLoABFPy-ZFU49nET,Dantroline Sodium Injection 20mg vial,,,,,,,
HUVzLoABFPy-ZFU4dHE8,Acetylcysteine Injection BP 2g/ 10ml,,,,,,,
HEVyLoABFPy-ZFU4vXH6,Sodium Citrate oral Solution USP 500mg/334mg per 5ml in 100ml bottle,,,,,,,
G0VxLoABFPy-ZFU4eHGj,Leucovorin Calcium (Folinic Acid) Tablet USP 15mg,,,,,,,
GkVwLoABFPy-ZFU4THFp,Ortho-Phthaladehyde 0.55%w/v,,,,,,,
GUVvLoABFPy-ZFU4oHHe,"Tretinoin Cream USP, 0.025%w/w",,,,,,,
GEVsLoABFPy-ZFU4iHGO,"Fluorescein Injection BP/USP,10%w/v",,,,,,,
FkUSLoABFPy-ZFU42nHt,Mesalazine tablet 400mg,,,,,,,
DJQMLoABo0STa_yTmM40,Colecalciferol Tablet BP 5000 IU,,,,,,,"[""Cholecalciferol tablet 5000 IU (Colecalciferol)""]"
C5QKLoABo0STa_yTtM4u,Phytomenadione Tablet BP 5mg,,,,,,,
FUUJLoABFPy-ZFU4zXHJ,Protein Hydrolysate Injection USP 10% w/v in 500ml bottle,,,,,,,
FEUJLoABFPy-ZFU4gnGg,Protein Hydrolysate injection USP in 100ml Bottle,,,,,,,
CZQGLoABo0STa_yTDM6s,Diazepam rectal solution 5mg/2.5ml,,,,,,,
6JRmLIABo0STa_yTFs0E,Esmolol hydrochloride 100mg/10ml solution for injection,,,,,,,"[""Esmolol HCl Inj. 100mg/10ml""]"
_kUIHYABFPy-ZFU4AD6T,CALCIUM WITH VITAMIN C & D TABLETS,ASCAL,SRI LANKA,14 Dec 2022,II B,***,Kioq,
_0UIHYABFPy-ZFU4AD6T,FRAMYCETIN SKIN CREAM 0.5% W/W,FRAMCIN,SRI LANKA,17 Dec 2022,II B,***,Kioq,
AEUIHYABFPy-ZFU4AD-T,LORATADINE ORAL SOLUTION USP 5MG/5ML,ALLORY SOLUTION,SRI LANKA,11 Jan 2024,II B,***,Kioq,
AUUIHYABFPy-ZFU4AD-T,LOSARTAN POTASSIUM TABLETS USP 50MG,LOSAVIC 50,SRI LANKA,06 Aug 2022,II B,***,Kioq,
AkUIHYABFPy-ZFU4AD-T,PIZOTIFEN TABLETS B.P 0.5MG,PIZFEN,SRI LANKA,11 Jan 2023,II B,***,Kioq,
A0UIHYABFPy-ZFU4AD-T,SODIUM CHLORIDE INJECTION BP 0.9% W/V,***,SRI LANKA,15 Feb 2023,II B,***,Kioq,
BEUIHYABFPy-ZFU4AD-T,AMLODIPINE TABLETS USP 5MG,AMLOVIC,SRI LANKA,11 Feb 2027,II B,0,MA==,
BUUIHYABFPy-ZFU4AD-T,ASCORBIC ACID TABLETS BP 100MG,C-100,SRI LANKA,10 May 2024,II B,0,MA==,
BkUIHYABFPy-ZFU4AD-T,ASPIRIN GASTRO RESISTANT TABLETS BP 75MG,CAREPRIN 75,SRI LANKA,12 Nov 2022,II B,0,MA==,
B0UIHYABFPy-ZFU4AD-T,BECLOMETHASONE PRESSURISED INHALATION BP 50MCG/DOSE,BECLOVENT 50 INHALER,SRI LANKA,03 Dec 2022,II B,0,MA==,
CEUIHYABFPy-ZFU4AD-T,BECLOMETHASONE PRESSURISED INHALATIONS BP 100MCG/Dose,BECLOVENT 100 INHALER,SRI LANKA,22 Nov 2022,II B,0,MA==,
CUUIHYABFPy-ZFU4AD-T,CHLORPHENIRAMINE MALEATE BP 2MG & DEXTROMETHORPHAN HYDROBROMIDE USP SYRUP 15MG/5ML,BRONCODEX,SRI LANKA,26 May 2024,II B,0,MA==,
CkUIHYABFPy-ZFU4AD-T,CLOZAPINE TABLETS USP 100MG,CLOZINE,SRI LANKA,12 Nov 2022,II B,0,MA==,
C0UIHYABFPy-ZFU4AD-T,FLUTICASONE 125 MCG/DOSE AND SALMETEROL 25 MCG/DOSE PRESSURIZED INHALATION SUSPENSION BP,FLUTIVENT 125 INHALER,SRI LANKA,03 Dec 2022,II B,0,MA==,
DEUIHYABFPy-ZFU4AD-T,FLUTICASONE 250MCG/DOSE AND SALMETEROL 25 MCG/DOSE PRESURERISSED INHALATION SUSPENSION BP,FLUTIVENT 250,SRI LANKA,12 Nov 2022,II B,0,MA==,
DUUIHYABFPy-ZFU4AD-T,FLUTICASONE 50MCG/DOSE AND SALMETEROL 25MCG/DOSE PRESSURIZED INHALATION SUSPENSION BP,FLUTIVENT 50 INHALER,SRI LANKA,12 Nov 2022,II B,0,MA==,
DkUIHYABFPy-ZFU4AD-T,GLICLAZIDE TABLETS BP 80MG,GLIVIC 80,SRI LANKA,12 May 2022,II B,0,MA==,
D0UIHYABFPy-ZFU4AD-T,IPRATROPIUM PRESSURISED INHALATION BP 20MCG/DOSE,BROMIVENT 20 INHALER,SRI LANKA,12 Nov 2023,II B,0,MA==,
EEUIHYABFPy-ZFU4AD-T,METOPROLOL TARTRATE TABLETS BP 50MG,INTEPROL,SRI LANKA,21 Sep 2023,II B,0,MA==,
EUUIHYABFPy-ZFU4AD-T,MINOXIDIL TOPICAL SOLUTION USP 5%,MINOX 5,SRI LANKA,06 Jul 2023,,0,MA==,
EkUIHYABFPy-ZFU4AD-T,MONTELUKAST TABLETS BP 10MG,LUKOT 10,SRI LANKA,09 Jul 2022,II B,0,MA==,
E0UIHYABFPy-ZFU4AD-U,"MULTIVITAMIN, IRON & MINERALS",OVRON,SRI LANKA,07 Oct 2025,II B,0,MA==,
FEUIHYABFPy-ZFU4AD-U,OSELTAMIVIR PHOSPHATE CAPSULES USP 75 MG,OSELTA 75,SRI LANKA,24 Sep 2022,II B,0,MA==,
FUUIHYABFPy-ZFU4AD-U,ROSUVASTATIN TABLETS IP 10MG,INTEROS,SRI LANKA,06 Sep 2022,II B,0,MA==,
FkUIHYABFPy-ZFU4AD-U,SALBUTAMOL PRESSURIZED INHALATION BP 100 MCG/DOSE,SALBUVENT 100 INHALER,SRI LANKA,14 Oct 2022,II B,0,MA==,
F0UIHYABFPy-ZFU4AD-U,SITAGLIPTIN TABLETS 50MG,SITAGMOR 50,SRI LANKA,12 Nov 2023,II B,0,MA==,
GEUIHYABFPy-ZFU4AD-U,URSODEXYCHLOLIC ACID TABLETS BP 150MG,UDEX 150,SRI LANKA,12 Nov 2022,II B,0,MA==,
GUUIHYABFPy-ZFU4AD-U,VIGABATRIN TABLET BP 500MG,VIGBARIN,SRI LANKA,23 Aug 2022,II B,0,MA==,
GkUIHYABFPy-ZFU4AD-U,ACECLOFENAC TABLETS 100MG,ACTINAC 100,INDIA,12 Oct 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
G0UIHYABFPy-ZFU4AD-U,AMOXICILLIN 1000MG+CLAVULANIC ACID 200MG INJECTION,CURAM,AUSTRIA,13 Aug 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
HEUIHYABFPy-ZFU4AD-U,AMOXICILLIN 500MG+CLAVULANIC ACID 125MG,CURAM,AUSTRIA,18 May 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
HUUIHYABFPy-ZFU4AD-U,AMOXYCILLIN & CLAVULANATE POTASSIUM ORAL SUSPENSION USP 156.25mg/5ML,MYCLAV 156.25,INDIA,27 Jul 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
HkUIHYABFPy-ZFU4AD-U,AMOXYCILLIN 125MG+CLAVULANIC ACID 31.25MG,CURAM,AUSTRIA,18 Jan 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
H0UIHYABFPy-ZFU4AD-U,AMOXYCILLIN TABLETS USP 500MG,OSPAMOX,AUSTRIA,12 Oct 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
IEUIHYABFPy-ZFU4AD-U,AZITHROMYCIN TABLETS BP 250MG,ZAHA 250,INDIA,25 Jun 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
IUUIHYABFPy-ZFU4AD-U,BACLOFEN TABLETS 10MG,LIORESAL,ITALY,31 May 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
IkUIHYABFPy-ZFU4AD-U,BASILIXIMAB 20MG POWDER & SOLUTION FOR INJECTION,SIMULECT,SWITZERLAND,06 Nov 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
I0UIHYABFPy-ZFU4AD-U,BETAMETHASONE TABLETS 0.5MG,CELESTONE,INDONESIA,05 Sep 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
JEUIHYABFPy-ZFU4AD-U,BEVACIZUMAB CONCENTRATE SOLUTION FOR INFUSION 100mg/4ml,AVASTIN,SWITZERLAND,29 Mar 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
JUUIHYABFPy-ZFU4AD-U,BEVACIZUMAB SOLUTION FOR INJECTION 100MG/4ML,AVASTIN,SWITZERLAND,05 Mar 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
JkUIHYABFPy-ZFU4AD-U,BIMATOPROST OPHTHALMIC SOLUTION 0.03% w/v 0.3mg in 1ml,BIMAT,INDIA,19 Oct 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
J0UIHYABFPy-ZFU4AD-U,BRINZOLAMIDE+TIMOLOL EYE DROPS 10mg+5mg /ml,AZARGA,BELGIUM,09 Mar 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
KEUIHYABFPy-ZFU4AD-U,CALCITRIOL CAPSULES 0.25MCG,MEDITROL,THAILAND,29 Oct 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
KUUIHYABFPy-ZFU4AD-U,CALCIUM CARBONATE 1500MG +VIT. D3 200IU,CALCIVITA FORTE,THAILAND,24 Feb 2024,II A,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
KkUIHYABFPy-ZFU4AD-U,CALCIUM CARBONATE 50MG+Dibasic CALCIUM PHOSPHATE 150MG+ VIT.A 2500 IU. VIT.D3 400IU,CALCIVITA,THAILAND,19 Feb 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
K0UIHYABFPy-ZFU4AD-U,CAPECITABINE TABLETS 500MG,XELODA,CHINA,23 Apr 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
LEUIHYABFPy-ZFU4AD-U,CARBAMAZEPINE 200MG,TEGRETOL,SWITZERLAND,22 Apr 2025,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
LUUIHYABFPy-ZFU4AD-U,CARBAMAZEPINE CONTROLLED RELEASE TABLETS 200mg,TEGRETOL CR,SWITZERLAND,10 Apr 2025,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
LkUIHYABFPy-ZFU4AD-U,CARBOMER 3MG IN OPHTHALMIC GEL 1G,LACRYEISC,BELGIUM,31 Jul 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
L0UIHYABFPy-ZFU4AD-U,CEFTRIAXONE SODIUM IG IV,ROCEPHIN,SWITZERLAND,01 Jan 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
MEUIHYABFPy-ZFU4AD-U,CETIRIZINE TABLETS BP 10MG,ZYNCET,INDIA,22 Jun 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
MUUIHYABFPy-ZFU4AD-U,CLARITHROMYCIN TABLETS USP 250MG,CLARANTA 250,INDIA,25 Feb 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
MkUIHYABFPy-ZFU4AD-U,CLARITHROMYCIN TABLETS USP 500MG,CLARANTA 500,INDIA,18 Sep 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
M0UIHYABFPy-ZFU4AD-U,CLOBETASOL PROPIONATE 0.05% + ZINC SULPHATE 1% +MICNAZOLE NUTRATE 2%,ZINCODERM M,INDIA,09 May 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
NEUIHYABFPy-ZFU4AD-U,CLOBETASOL PROPIONATE 0.05% + ZINC SULPHATE 1% CREAM,ZINCODERM,INDIA,09 May 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
NUUIHYABFPy-ZFU4AD-U,"CLOBETASOL,SALICYLIC ACID & ZINK SKIN OINTMENTCLOBETASOL PROPIONATE 0.05%+SALICYLIC ACID 3% ZINC OXIDE 2.5% OINTMENT",ZINCODERM S,INDIA,09 May 2025,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
NkUIHYABFPy-ZFU4AD-U,CLONAZEPAM TABELTS 0.5MG,RIVOTRIL 0.5MG,SWITZERLAND,19 Nov 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
N0UIHYABFPy-ZFU4AD-U,CLONAZEPAM TABLETS 2MG,RIVOTRIL,SWITZERLAND,19 Nov 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
OEUIHYABFPy-ZFU4AD-U,CLOPIDOGREL HYDROGEN SULPHATE TABLETS 75MG,PLAVIX,FRANCE,31 Jan 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
OUUIHYABFPy-ZFU4AD-U,CO-AMOXICLAV TABLETS BP 250/125mg,CURAM 375MG,AUSTRIA,07 Jun 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
OkUIHYABFPy-ZFU4AD-U,DEFERASIROX DIPERSIBLE TABLETS 100MG,ASUNRA 100,SWITZERLAND,20 Oct 2025,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
O0UIHYABFPy-ZFU4AD-U,DEFERASIROX DISPERSIBLE TABLETS 400MG,ASUNRA DISPERSIBLE TABLET 400MG,SWITZERLAND,19 Feb 2026,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
PEUIHYABFPy-ZFU4AD-U,DEFERASIROX FILMCOATED TABLETS 90MG,JADENU 90,SWITZERLAND,22 Mar 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
PUUIHYABFPy-ZFU4AD-U,DESOGESTREL 0.15mg+ETHINYLESTRADIOL 0.02mg TABLETS,FEMILON,NETHERLANDS,19 Oct 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
PkUIHYABFPy-ZFU4AD-U,DEXTRAN 70 0.1% HYDROXYPROPYLMETHYLCELULOSE 0.3%,TEARS NATURALE 11,BELGIUM,25 Oct 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
P0UIHYABFPy-ZFU4AD-U,DEXTRAN 70 0.1% W/V + HYPROMELLOSE 0.3% W/V EYE DROPS,TEARS NATURALE 11,SINGAPORE,19 Mar 2026,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
QEUIHYABFPy-ZFU4AD-U,DICLOFENAC SODIUM SUPPOSITORIES 100MG,VOLTAREN,SWITZERLAND,29 May 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
QUUIHYABFPy-ZFU4AD-U,DICLOFENAC SODIUM SUPPOSITORIES 12.5MG,VOLTAREN,SWITZERLAND,24 Oct 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
QkUIHYABFPy-ZFU4AD-U,DICLOFENAC SODIUM SUPPOSITORIES 50MG,VOLTAREN 50,FRANCE,25 Oct 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
Q0UIHYABFPy-ZFU4AD-U,DOMPERIDONE 10MG,VOMETA,INDONESIA,25 Oct 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
REUIHYABFPy-ZFU4AD-U,DONEPEZIL HYDROCHIORIDE TABLETS 5MG,ARICEPT,INDIA,03 Oct 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
RUUIHYABFPy-ZFU4AD-U,DONEPEZIL HYDROCHIORIDE TABLETS IP 10MG,ARICEP 10,INDIA,12 Jan 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
RkUIHYABFPy-ZFU4AD-U,DORZOLAMIDE HYDROCHLORIDE 2% &TIMOLOL MALEATE 0.5% EYE DROPS,COSOPT,JAPAN,22 Aug 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
R0UIHYABFPy-ZFU4AD-U,ERTAPENEM FOR INJECTION 1 G/VIAL,INVANZ,FRANCE,08 Feb 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
SEUIHYABFPy-ZFU4AD-U,ETONOGESTREL IMPLANT 68MG,IMPLANT NXT,NETHERLANDS,25 Jul 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
SUUIHYABFPy-ZFU4AD-U,EVEROLIMUS TABLETS 0.25mg,CERTICAN,SWITZERLAND,05 Apr 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
SkUIHYABFPy-ZFU4AD-U,FINGOLIMOD CAPSULE 0.5MG,GILENYA,SWITZERLAND,15 Nov 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
S0UIHYABFPy-ZFU4AD-U,FLUOROMETHOLONE ACETATE STERILE OPTHALMIC SUSPENSION 0.1%/WV,FLAREX,BELGIUM,13 Nov 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
TEUIHYABFPy-ZFU4AD-U,FOLLITROPIN ALPHA (R-HFSH) 150IU+LUTROPIN ALFA r-HLH POWDER AND SOLVENT FOR SOLUTION INJECTION,PERGLIM 1,SWITZERLAND,10 Apr 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
TUUIHYABFPy-ZFU4AD-U,IMATINIB CAPSULES 100MG,GLIVEC,SWITZERLAND,23 Oct 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
TkUIHYABFPy-ZFU4AD-U,INTERFERON BETA-1A (REBIF) 44MCG/0.5ML PRE-FILLED SYRINGES,REBIF,ITALY,29 Jun 2023,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
T0UIHYABFPy-ZFU4AD-U,ISOTRETINOIN CAPSULES 10MG,ROACCUTANE,SWITZERLAND,05 Dec 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
UEUIHYABFPy-ZFU4AD-U,ISOTRETINOIN CAPSULES 20MG,ROACCUTANE,GERMANY,05 Dec 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
UUUIHYABFPy-ZFU4AD-U,ISOTRETINOIN SOFT GELATINE CAPSULES USP 10MG,ACNETREX 10,THAILAND,23 Aug 2024,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
UkUIHYABFPy-ZFU4AD-U,KETOROLAC TROMETHAMINE INJECTION USP 30MG IN 1ML (3%),REMOPAIN,INDONESIA,13 Aug 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
U0UIHYABFPy-ZFU4AD-U,LAPATINIB TABLETS 250MG,TYKERB 250,UNITED KINGDOM,12 Mar 2025,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
VEUIHYABFPy-ZFU4AD-U,LENVATINIB CAPSULES 4MG,LENVIMA,JAPAN,31 Jan 2025,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
VUUIHYABFPy-ZFU4AD-U,LETROZOLE TABLETS 2.5MG,FEMARA,SWITZERLAND,03 Jul 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
VkUIHYABFPy-ZFU4AD-U,LEVOCETIRIZINE DIHYDROCHLORIDE TABLETS 5MG,THERMAL,INDIA,14 Sep 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
V0UIHYABFPy-ZFU4AD-U,LEVODOPA 100MG + CARBIDOPA 25MG+ENTACAPONE 200 TABLETS,STALEVO 100MG,INDIA,06 May 2022,II B,A Baur & Co (Pvt) Ltd,QSBCYXVyICYgQ28gKFB2dCkgTHRk,
